Step,"Group: femnist - Client #1, train_avg_loss","Group: femnist - Client #1, train_avg_loss__MIN","Group: femnist - Client #1, train_avg_loss__MAX","Group: femnist - Client #2, train_avg_loss","Group: femnist - Client #2, train_avg_loss__MIN","Group: femnist - Client #2, train_avg_loss__MAX","Group: femnist - Client #3, train_avg_loss","Group: femnist - Client #3, train_avg_loss__MIN","Group: femnist - Client #3, train_avg_loss__MAX","Group: femnist - Client #4, train_avg_loss","Group: femnist - Client #4, train_avg_loss__MIN","Group: femnist - Client #4, train_avg_loss__MAX","Group: femnist - Client #5, train_avg_loss","Group: femnist - Client #5, train_avg_loss__MIN","Group: femnist - Client #5, train_avg_loss__MAX",avg,min,max
1080,,,,,,,,,,2.995243311,2.995243311,2.995243311,,,,2.861654997,2.732618093,2.995243311
1137,,,,2.732618093,2.732618093,2.732618093,,,,,,,,,,2.838525343,2.732618093,2.894385338
1156,,,,,,,,,,,,,2.894385338,2.894385338,2.894385338,2.853436708,2.807174921,2.894385338
1164,,,,,,,,,,2.833166838,2.833166838,2.833166838,,,,2.791207027,2.583236933,2.879595041
1167,,,,,,,2.852861404,2.852861404,2.852861404,,,,,,,2.843848133,2.583236933,3.096372366
1207,,,,,,,2.879595041,2.879595041,2.879595041,,,,,,,2.891652679,2.583236933,3.096372366
1209,,,,,,,,,,,,,2.807174921,2.807174921,2.807174921,2.875848722,2.583236933,3.096372366
1216,,,,,,,,,,2.583236933,2.583236933,2.583236933,,,,2.861762428,2.583236933,3.096372366
1238,,,,,,,3.096372366,3.096372366,3.096372366,,,,,,,2.879098272,2.669916153,3.096372366
1243,,,,,,,,,,,,,3.091884136,3.091884136,3.091884136,2.857063341,2.669916153,3.091884136
1247,2.800575256,2.800575256,2.800575256,,,,,,,,,,,,,2.847335625,2.669916153,3.043245554
1277,,,,,,,2.73674345,2.73674345,2.73674345,,,,,,,2.860536957,2.669916153,3.043245554
1306,2.669916153,2.669916153,2.669916153,,,,,,,,,,,,,2.779494143,2.331529379,3.043245554
1308,,,,,,,2.98619771,2.98619771,2.98619771,,,,,,,2.790340614,2.331529379,3.043245554
1313,,,,,,,,,,,,,3.043245554,3.043245554,3.043245554,2.814460897,2.331529379,3.106799126
1317,,,,2.866581917,2.866581917,2.866581917,,,,,,,,,,2.726605511,2.331529379,3.106799126
1346,2.331529379,2.331529379,2.331529379,,,,,,,,,,,,,2.709226465,2.331529379,3.106799126
1350,,,,2.724148512,2.724148512,2.724148512,,,,,,,,,,2.799976587,2.60396862,3.106799126
1368,,,,,,,3.106799126,3.106799126,3.106799126,,,,,,,2.729971123,2.374121189,3.106799126
1381,,,,,,,,,,2.60396862,2.60396862,2.60396862,,,,2.621107721,2.374121189,2.785279989
1388,,,,,,,,,,,,,2.779686689,2.779686689,2.779686689,2.704117823,2.374121189,3.019019127
1414,,,,2.785279989,2.785279989,2.785279989,,,,,,,,,,2.631314468,2.374121189,3.019019127
1421,2.374121189,2.374121189,2.374121189,,,,,,,,,,,,,2.663773632,2.374121189,3.019019127
1448,,,,,,,2.562482119,2.562482119,2.562482119,,,,,,,2.650983572,2.310170889,3.019019127
