Step,"Grouped runs - Client #1, train_avg_loss","Grouped runs - Client #1, train_avg_loss__MIN","Grouped runs - Client #1, train_avg_loss__MAX","Grouped runs - Client #2, train_avg_loss","Grouped runs - Client #2, train_avg_loss__MIN","Grouped runs - Client #2, train_avg_loss__MAX","Grouped runs - Client #3, train_avg_loss","Grouped runs - Client #3, train_avg_loss__MIN","Grouped runs - Client #3, train_avg_loss__MAX","Grouped runs - Client #4, train_avg_loss","Grouped runs - Client #4, train_avg_loss__MIN","Grouped runs - Client #4, train_avg_loss__MAX","Grouped runs - Client #5, train_avg_loss","Grouped runs - Client #5, train_avg_loss__MIN","Grouped runs - Client #5, train_avg_loss__MAX",avg,min,max
1080,,,,,,,,,,2.493536472,2.493536472,2.493536472,,,,2.243529463,2.02368784,2.493536472
1137,,,,2.142915726,2.142915726,2.142915726,,,,,,,,,,2.198034334,2.02368784,2.387764931
1156,,,,,,,,,,,,,2.387764931,2.387764931,2.387764931,2.14361999,1.870844007,2.387764931
1164,,,,,,,,,,2.02368784,2.02368784,2.02368784,,,,2.044229484,1.870844007,2.266060829
1167,,,,,,,2.169742346,2.169742346,2.169742346,,,,,,,2.101954532,1.870844007,2.31231308
1207,,,,,,,2.266060829,2.266060829,2.266060829,,,,,,,2.1283849,1.870844007,2.31231308
1209,,,,,,,,,,,,,1.870844007,1.870844007,1.870844007,2.095596004,1.870844007,2.31231308
1216,,,,,,,,,,1.890812397,1.890812397,1.890812397,,,,2.122123861,1.890812397,2.31231308
1238,,,,,,,2.31231308,2.31231308,2.31231308,,,,,,,2.125093555,1.905660868,2.31231308
1243,,,,,,,,,,,,,2.301894188,2.301894188,2.301894188,2.112800646,1.905660868,2.301894188
1247,2.102116346,2.102116346,2.102116346,,,,,,,,,,,,,2.125561953,1.905660868,2.365700722
1277,,,,,,,2.003483295,2.003483295,2.003483295,,,,,,,2.121175957,1.905660868,2.365700722
1306,1.905660868,1.905660868,1.905660868,,,,,,,,,,,,,2.067683005,1.736018538,2.365700722
1308,,,,,,,2.250848532,2.250848532,2.250848532,,,,,,,2.103316855,1.736018538,2.365700722
1313,,,,,,,,,,,,,2.365700722,2.365700722,2.365700722,2.098121858,1.736018538,2.365700722
1317,,,,2.080186367,2.080186367,2.080186367,,,,,,,,,,2.027614141,1.736018538,2.224873543
1346,1.736018538,1.736018538,1.736018538,,,,,,,,,,,,,2.004978156,1.736018538,2.224873543
1350,,,,2.083830118,2.083830118,2.083830118,,,,,,,,,,2.069815254,1.967006445,2.224873543
1368,,,,,,,2.224873543,2.224873543,2.224873543,,,,,,,2.002800465,1.74875617,2.224873543
1381,,,,,,,,,,2.013162136,2.013162136,2.013162136,,,,1.917297339,1.74875617,2.060204029
1388,,,,,,,,,,,,,1.967006445,1.967006445,1.967006445,1.969302678,1.74875617,2.273188829
1414,,,,2.060204029,2.060204029,2.060204029,,,,,,,,,,1.904685378,1.643919945,2.273188829
1421,1.74875617,1.74875617,1.74875617,,,,,,,,,,,,,1.927269197,1.643919945,2.273188829
1448,,,,,,,1.797357917,1.797357917,1.797357917,,,,,,,1.917999148,1.643919945,2.273188829
1453,,,,2.273188829,2.273188829,2.273188829,,,,,,,,,,1.910003996,1.643919945,2.273188829
1507,,,,,,,,,,1.643919945,1.643919945,1.643919945,,,,1.937876606,1.643919945,2.41255188
1519,,,,2.173123121,2.173123121,2.173123121,,,,,,,,,,1.987904811,1.70240593,2.41255188
1525,1.70240593,1.70240593,1.70240593,,,,,,,,,,,,,1.874648428,1.606841207,2.41255188
1550,,,,,,,,,,1.757382154,1.757382154,1.757382154,,,,1.983709383,1.606841207,2.41255188
1566,,,,,,,,,,,,,2.41255188,2.41255188,2.41255188,1.942176366,1.549717069,2.41255188
1592,,,,,,,1.894060969,1.894060969,1.894060969,,,,,,,1.83796494,1.549717069,2.247710705
1619,1.606841207,1.606841207,1.606841207,,,,,,,,,,,,,1.836283994,1.549717069,2.247710705
1628,,,,,,,2.247710705,2.247710705,2.247710705,,,,,,,1.889347005,1.549717069,2.247710705
1679,1.549717069,1.549717069,1.549717069,,,,,,,,,,,,,1.743341923,1.517685294,1.891494751
1686,,,,,,,1.891494751,1.891494751,1.891494751,,,,,,,1.843588996,1.517685294,2.050952435
1732,,,,1.885656238,1.885656238,1.885656238,,,,,,,,,,1.738256717,1.364833355,2.050952435
1741,,,,,,,,,,,,,1.872156262,1.872156262,1.872156262,1.743478632,1.364833355,2.050952435
1765,1.517685294,1.517685294,1.517685294,,,,,,,,,,,,,1.698504472,1.364833355,2.050952435
1766,,,,,,,2.050952435,2.050952435,2.050952435,,,,,,,1.78099978,1.364833355,2.050952435
1770,,,,,,,,,,1.364833355,1.364833355,1.364833355,,,,1.814062619,1.364833355,2.216266632
1781,,,,1.911765814,1.911765814,1.911765814,,,,,,,,,,1.918920612,1.647285461,2.216266632
1802,,,,,,,1.647285461,1.647285461,1.647285461,,,,,,,1.838417244,1.509248972,2.216266632
1816,,,,1.930161834,1.930161834,1.930161834,,,,,,,,,,1.918727541,1.509248972,2.216266632
1831,,,,,,,,,,,,,2.216266632,2.216266632,2.216266632,1.844306064,1.509248972,2.216266632
1849,,,,,,,1.889123321,1.889123321,1.889123321,,,,,,,1.747175765,1.509248972,2.048836946
1886,1.509248972,1.509248972,1.509248972,,,,,,,,,,,,,1.67323091,1.509248972,2.048836946
1893,,,,,,,,,,,,,2.048836946,2.048836946,2.048836946,1.665548873,1.470838785,2.048836946
1929,,,,1.558054447,1.558054447,1.558054447,,,,,,,,,,1.73836205,1.470838785,2.412902832
1960,,,,1.730615139,1.730615139,1.730615139,,,,,,,,,,1.786912823,1.470838785,2.412902832
1962,1.519399047,1.519399047,1.519399047,,,,,,,,,,,,,1.766004062,1.470838785,2.412902832
1979,,,,,,,,,,1.470838785,1.470838785,1.470838785,,,,1.809230018,1.470838785,2.412902832
2005,,,,,,,2.412902832,2.412902832,2.412902832,,,,,,,1.879597664,1.626071334,2.412902832
2030,1.800808311,1.800808311,1.800808311,,,,,,,,,,,,,1.661841488,1.324121952,1.822677016
2115,,,,,,,,,,1.626071334,1.626071334,1.626071334,,,,1.661018801,1.324121952,1.822677016
2118,,,,,,,1.735528827,1.735528827,1.735528827,,,,,,,1.69377563,1.324121952,1.822677016
