Step,"Group: femnist - Client #1, train_avg_loss","Group: femnist - Client #1, train_avg_loss__MIN","Group: femnist - Client #1, train_avg_loss__MAX","Group: femnist - Client #2, train_avg_loss","Group: femnist - Client #2, train_avg_loss__MIN","Group: femnist - Client #2, train_avg_loss__MAX","Group: femnist - Client #3, train_avg_loss","Group: femnist - Client #3, train_avg_loss__MIN","Group: femnist - Client #3, train_avg_loss__MAX","Group: femnist - Client #4, train_avg_loss","Group: femnist - Client #4, train_avg_loss__MIN","Group: femnist - Client #4, train_avg_loss__MAX","Group: femnist - Client #5, train_avg_loss","Group: femnist - Client #5, train_avg_loss__MIN","Group: femnist - Client #5, train_avg_loss__MAX",avg,min,max
1083,,,,,,,,,,3.621407747,3.621407747,3.621407747,,,,3.600228882,3.549791336,3.652800798
1140,,,,3.591877222,3.591877222,3.591877222,,,,,,,,,,3.61040163,3.549791336,3.67227149
1159,,,,,,,,,,,,,3.549791336,3.549791336,3.549791336,3.624264956,3.549791336,3.67227149
1167,,,,,,,,,,3.585267305,3.585267305,3.585267305,,,,3.637507725,3.585267305,3.67227149
1170,,,,,,,3.652800798,3.652800798,3.652800798,,,,,,,3.648533869,3.616005182,3.67227149
1210,,,,,,,3.67227149,3.67227149,3.67227149,,,,,,,3.654381227,3.616005182,3.682037592
1212,,,,,,,,,,,,,3.661193848,3.661193848,3.661193848,3.620352221,3.502126455,3.682037592
1219,,,,,,,,,,3.616005182,3.616005182,3.616005182,,,,3.584527349,3.482069492,3.682037592
1241,,,,,,,3.640398026,3.640398026,3.640398026,,,,,,,3.552327633,3.455006599,3.682037592
1246,,,,,,,,,,,,,3.682037592,3.682037592,3.682037592,3.530937147,3.455006599,3.682037592
1250,3.502126455,3.502126455,3.502126455,,,,,,,,,,,,,3.480585194,3.430277824,3.533445597
1281,,,,,,,3.482069492,3.482069492,3.482069492,,,,,,,3.48073082,3.430277824,3.533445597
1310,3.455006599,3.455006599,3.455006599,,,,,,,,,,,,,3.472780323,3.430277824,3.533445597
1312,,,,,,,3.533445597,3.533445597,3.533445597,,,,,,,3.473388195,3.430277824,3.533445597
1317,,,,,,,,,,,,,3.430277824,3.430277824,3.430277824,3.466345215,3.430277824,3.502854586
1321,,,,3.502854586,3.502854586,3.502854586,,,,,,,,,,3.425365353,3.225378513,3.502854586
1350,3.442317009,3.442317009,3.442317009,,,,,,,,,,,,,3.434028339,3.225378513,3.546169519
1354,,,,3.458045959,3.458045959,3.458045959,,,,,,,,,,3.456186914,3.225378513,3.553109884
1372,,,,,,,3.498230696,3.498230696,3.498230696,,,,,,,3.455992699,3.225378513,3.553109884
1385,,,,,,,,,,3.225378513,3.225378513,3.225378513,,,,3.409847975,3.225378513,3.553109884
1392,,,,,,,,,,,,,3.546169519,3.546169519,3.546169519,3.438935328,3.267507076,3.553109884
1418,,,,3.553109884,3.553109884,3.553109884,,,,,,,,,,3.36931777,3.198081732,3.553109884
1425,3.457074881,3.457074881,3.457074881,,,,,,,,,,,,,3.342033863,3.198081732,3.457074881
1452,,,,,,,3.267507076,3.267507076,3.267507076,,,,,,,3.349264669,3.198081732,3.493228912
1457,,,,3.370815277,3.370815277,3.370815277,,,,,,,,,,3.389149952,3.198081732,3.493228912
1511,,,,,,,,,,3.198081732,3.198081732,3.198081732,,,,3.39057107,3.198081732,3.493228912
1523,,,,3.41669035,3.41669035,3.41669035,,,,,,,,,,3.390121508,3.195833921,3.493228912
1529,3.493228912,3.493228912,3.493228912,,,,,,,,,,,,,3.420791435,3.195833921,3.570039988
1554,,,,,,,,,,3.466933489,3.466933489,3.466933489,,,,3.421900368,3.195833921,3.570039988
1570,,,,,,,,,,,,,3.377920866,3.377920866,3.377920866,3.390783834,3.195833921,3.570039988
1596,,,,,,,3.195833921,3.195833921,3.195833921,,,,,,,3.386520481,3.195833921,3.570039988
1623,3.570039988,3.570039988,3.570039988,,,,,,,,,,,,,3.392566299,3.226063013,3.570039988
1632,,,,,,,3.498773575,3.498773575,3.498773575,,,,,,,3.316795397,3.191185474,3.498773575
1683,3.311350822,3.311350822,3.311350822,,,,,,,,,,,,,3.319316816,3.191185474,3.511380672
1690,,,,,,,3.356604099,3.356604099,3.356604099,,,,,,,3.304100895,3.191185474,3.511380672
