Step,"Group: femnist - Client #13, train_avg_loss","Group: femnist - Client #13, train_avg_loss__MIN","Group: femnist - Client #13, train_avg_loss__MAX","Group: femnist - Client #19, train_avg_loss","Group: femnist - Client #19, train_avg_loss__MIN","Group: femnist - Client #19, train_avg_loss__MAX","Group: femnist - Client #50, train_avg_loss","Group: femnist - Client #50, train_avg_loss__MIN","Group: femnist - Client #50, train_avg_loss__MAX","Group: femnist - Client #18, train_avg_loss","Group: femnist - Client #18, train_avg_loss__MIN","Group: femnist - Client #18, train_avg_loss__MAX","Group: femnist - Client #33, train_avg_loss","Group: femnist - Client #33, train_avg_loss__MIN","Group: femnist - Client #33, train_avg_loss__MAX",avg,min,max
553,,,,,,,,,,2.894906759,2.894906759,2.894906759,,,,3.023009539,2.875466347,3.357421637
565,,,,3.357421637,3.357421637,3.357421637,,,,,,,,,,2.892297649,2.241347313,3.357421637
576,,,,,,,,,,,,,2.935019732,2.935019732,2.935019732,2.797440767,2.241347313,3.052233219
583,,,,,,,2.875466347,2.875466347,2.875466347,,,,,,,2.654364586,2.219638824,3.052233219
588,3.052233219,3.052233219,3.052233219,,,,,,,,,,,,,2.621083736,2.219638824,3.052233219
592,,,,,,,,,,2.241347313,2.241347313,2.241347313,,,,2.618117523,2.219638824,3.037402153
596,,,,2.883137226,2.883137226,2.883137226,,,,,,,,,,2.741341877,2.219638824,3.037402153
623,,,,,,,,,,2.219638824,2.219638824,2.219638824,,,,2.708891821,2.219638824,3.037402153
627,,,,,,,,,,,,,2.709062099,2.709062099,2.709062099,2.828010416,2.709062099,3.037402153
644,,,,3.037402153,3.037402153,3.037402153,,,,,,,,,,2.811529303,2.626656532,3.037402153
646,2.857469082,2.857469082,2.857469082,,,,,,,,,,,,,2.755048227,2.626656532,2.857469082
672,,,,,,,2.720886946,2.720886946,2.720886946,,,,,,,2.705455256,2.609504223,2.8152318
684,,,,,,,,,,,,,2.8152318,2.8152318,2.8152318,2.674458361,2.565902472,2.8152318
686,,,,,,,,,,2.626656532,2.626656532,2.626656532,,,,2.652815914,2.565902472,2.754996777
690,,,,2.754996777,2.754996777,2.754996777,,,,,,,,,,2.66761713,2.565902472,2.754996777
708,,,,,,,2.609504223,2.609504223,2.609504223,,,,,,,2.638311338,2.565902472,2.707019567
714,2.565902472,2.565902472,2.565902472,,,,,,,,,,,,,2.639572334,2.565902472,2.707019567
718,,,,,,,,,,2.707019567,2.707019567,2.707019567,,,,2.600494957,2.370515585,2.707019567
725,,,,2.700662613,2.700662613,2.700662613,,,,,,,,,,2.614843464,2.370515585,2.778762102
729,,,,,,,,,,,,,2.608467817,2.608467817,2.608467817,2.56289134,2.370515585,2.778762102
740,,,,,,,2.615809202,2.615809202,2.615809202,,,,,,,2.456606483,2.077043533,2.778762102
764,,,,,,,,,,2.370515585,2.370515585,2.370515585,,,,2.495229769,2.077043533,2.808925629
778,2.778762102,2.778762102,2.778762102,,,,,,,,,,,,,2.445764828,2.077043533,2.808925629
779,,,,,,,2.440901995,2.440901995,2.440901995,,,,,,,2.465836287,2.077043533,2.879119396
797,,,,,,,,,,2.077043533,2.077043533,2.077043533,,,,2.537748384,2.077043533,2.879119396
809,,,,2.808925629,2.808925629,2.808925629,,,,,,,,,,2.533537054,2.055986881,2.879119396
812,,,,,,,,,,,,,2.12319088,2.12319088,2.12319088,2.543841887,2.055986881,2.879119396
816,,,,,,,2.879119396,2.879119396,2.879119396,,,,,,,2.595566893,2.055986881,2.879119396
834,2.800462484,2.800462484,2.800462484,,,,,,,,,,,,,2.512857485,2.055986881,2.860449791
841,,,,,,,,,,2.055986881,2.055986881,2.055986881,,,,2.415408278,2.055986881,2.860449791
842,,,,2.860449791,2.860449791,2.860449791,,,,,,,,,,2.343992805,1.698909521,2.860449791
851,,,,,,,,,,,,,2.38181591,2.38181591,2.38181591,2.258775473,1.698909521,2.465572357
866,,,,,,,2.465572357,2.465572357,2.465572357,,,,,,,2.243381691,1.698909521,2.465572357
874,2.313216448,2.313216448,2.313216448,,,,,,,,,,,,,2.342512083,1.698909521,2.961224318
893,,,,,,,,,,1.698909521,1.698909521,1.698909521,,,,2.274691892,1.698909521,2.961224318
895,,,,,,,,,,,,,2.434363127,2.434363127,2.434363127,2.383315301,1.974115491,2.961224318
897,,,,,,,2.304847002,2.304847002,2.304847002,,,,,,,2.400398898,1.974115491,2.961224318
900,,,,2.961224318,2.961224318,2.961224318,,,,,,,,,,2.362104487,1.974115491,2.961224318
924,,,,,,,,,,1.974115491,1.974115491,1.974115491,,,,2.192003942,1.974115491,2.519781113
927,2.242026567,2.242026567,2.242026567,,,,,,,,,,,,,2.219365644,2.110721588,2.519781113
930,,,,2.519781113,2.519781113,2.519781113,,,,,,,,,,2.148036885,1.885382771,2.519781113
932,,,,,,,2.113374949,2.113374949,2.113374949,,,,,,,2.096436095,1.885382771,2.261777163
957,,,,,,,,,,2.110721588,2.110721588,2.110721588,,,,2.025172448,1.757056713,2.261777163
972,,,,,,,2.110924006,2.110924006,2.110924006,,,,,,,1.980409431,1.757056713,2.261777163
976,,,,,,,,,,,,,1.885382771,1.885382771,1.885382771,2.012459517,1.757056713,2.271174431
981,,,,2.261777163,2.261777163,2.261777163,,,,,,,,,,1.977455306,1.710361719,2.271174431
983,1.757056713,1.757056713,1.757056713,,,,,,,,,,,,,1.856154227,1.655271769,2.271174431
1006,,,,,,,1.886906505,1.886906505,1.886906505,,,,,,,1.91445725,1.655271769,2.271174431
1013,,,,,,,,,,,,,2.271174431,2.271174431,2.271174431,1.885494161,1.655271769,2.271174431
1033,,,,,,,,,,1.710361719,1.710361719,1.710361719,,,,1.765120125,1.655271769,2.048571825
1044,1.655271769,1.655271769,1.655271769,,,,,,,,,,,,,1.938133335,1.655271769,2.575427771
1059,,,,,,,,,,,,,2.048571825,2.048571825,2.048571825,1.99835248,1.669304252,2.575427771
1074,,,,,,,1.74209106,1.74209106,1.74209106,,,,,,,2.001300859,1.669304252,2.575427771
1075,,,,,,,,,,1.669304252,1.669304252,1.669304252,,,,2.088413262,1.669304252,2.575427771
1080,,,,2.575427771,2.575427771,2.575427771,,,,,,,,,,2.084053612,1.647505999,2.575427771
1091,,,,,,,,,,,,,1.956367493,1.956367493,1.956367493,1.92523973,1.647505999,2.177653074
1097,2.063313723,2.063313723,2.063313723,,,,,,,,,,,,,1.951413655,1.647505999,2.177653074
1105,,,,,,,2.177653074,2.177653074,2.177653074,,,,,,,1.893774605,1.647505999,2.177653074
1120,,,,,,,,,,1.647505999,1.647505999,1.647505999,,,,1.778855276,1.603056431,2.08723712
1126,,,,,,,,,,,,,1.781358361,1.781358361,1.781358361,1.892156792,1.603056431,2.214013577
1128,2.08723712,2.08723712,2.08723712,,,,,,,,,,,,,1.888908029,1.603056431,2.214013577
1157,,,,,,,,,,1.77511847,1.77511847,1.77511847,,,,1.852280664,1.603056431,2.214013577
1167,,,,,,,,,,,,,1.603056431,1.603056431,1.603056431,1.906086326,1.603056431,2.214013577
1173,,,,2.214013577,2.214013577,2.214013577,,,,,,,,,,2.128263927,1.765114546,2.713944435
1187,,,,,,,,,,1.765114546,1.765114546,1.765114546,,,,2.020396638,1.674677134,2.713944435
1191,,,,,,,1.904100299,1.904100299,1.904100299,,,,,,,2.096419692,1.674677134,2.713944435
1200,2.044146776,2.044146776,2.044146776,,,,,,,,,,,,,2.037354183,1.608772755,2.713944435
1205,,,,2.713944435,2.713944435,2.713944435,,,,,,,,,,2.049835157,1.608772755,2.713944435
1221,,,,,,,,,,1.674677134,1.674677134,1.674677134,,,,1.819664049,1.563088894,2.145229816
1226,,,,,,,2.145229816,2.145229816,2.145229816,,,,,,,1.846579361,1.563088894,2.145229816
1244,1.608772755,1.608772755,1.608772755,,,,,,,,,,,,,1.843740797,1.563088894,2.131036997
1245,,,,2.106551647,2.106551647,2.106551647,,,,,,,,,,1.859183383,1.563088894,2.131036997
1278,,,,,,,,,,1.563088894,1.563088894,1.563088894,,,,1.891463256,1.563088894,2.267951012
1284,,,,1.809253693,1.809253693,1.809253693,,,,,,,,,,1.983925891,1.685985684,2.267951012
1289,,,,,,,2.131036997,2.131036997,2.131036997,,,,,,,1.949339652,1.636322498,2.267951012
1313,,,,,,,,,,1.685985684,1.685985684,1.685985684,,,,1.90045855,1.636322498,2.267951012
1317,,,,2.267951012,2.267951012,2.267951012,,,,,,,,,,1.866383505,1.515610456,2.267951012
1340,,,,,,,,,,,,,2.025402069,2.025402069,2.025402069,1.772979379,1.515610456,2.025402069
1352,,,,,,,1.636322498,1.636322498,1.636322498,,,,,,,1.643700814,1.379009247,1.886631489
1358,1.886631489,1.886631489,1.886631489,,,,,,,,,,,,,1.685685635,1.379009247,1.886631489
1360,,,,,,,,,,1.515610456,1.515610456,1.515610456,,,,1.649811745,1.379009247,1.8462466
1376,,,,,,,,,,,,,1.800930381,1.800930381,1.800930381,1.699174953,1.379009247,1.8462466
1386,,,,,,,1.379009247,1.379009247,1.379009247,,,,,,,1.611258626,1.361348748,1.8462466
1390,1.8462466,1.8462466,1.8462466,,,,,,,,,,,,,1.762268424,1.361348748,2.134058237
1394,,,,,,,,,,1.707262039,1.707262039,1.707262039,,,,1.721575332,1.361348748,2.134058237
1398,,,,1.762426496,1.762426496,1.762426496,,,,,,,,,,1.763054156,1.361348748,2.134058237
1421,1.361348748,1.361348748,1.361348748,,,,,,,,,,,,,1.825373363,1.361348748,2.134058237
1448,,,,2.134058237,2.134058237,2.134058237,,,,,,,,,,1.988351321,1.642781138,2.176238537
1449,,,,,,,,,,,,,1.642781138,1.642781138,1.642781138,1.839826298,1.39143312,2.176238537
1478,,,,,,,1.914656162,1.914656162,1.914656162,,,,,,,1.862952232,1.39143312,2.176238537
1488,2.074022532,2.074022532,2.074022532,,,,,,,,,,,,,1.844741678,1.39143312,2.176238537
1500,,,,2.176238537,2.176238537,2.176238537,,,,,,,,,,1.732985044,1.39143312,2.176238537
1508,,,,,,,,,,1.39143312,1.39143312,1.39143312,,,,1.661401343,1.39143312,1.823603392
1512,,,,,,,1.758410811,1.758410811,1.758410811,,,,,,,1.68092227,1.489037752,1.823603392
