Step,"Group: femnist - Client #1, train_avg_loss","Group: femnist - Client #1, train_avg_loss__MIN","Group: femnist - Client #1, train_avg_loss__MAX","Group: femnist - Client #2, train_avg_loss","Group: femnist - Client #2, train_avg_loss__MIN","Group: femnist - Client #2, train_avg_loss__MAX","Group: femnist - Client #3, train_avg_loss","Group: femnist - Client #3, train_avg_loss__MIN","Group: femnist - Client #3, train_avg_loss__MAX","Group: femnist - Client #4, train_avg_loss","Group: femnist - Client #4, train_avg_loss__MIN","Group: femnist - Client #4, train_avg_loss__MAX","Group: femnist - Client #5, train_avg_loss","Group: femnist - Client #5, train_avg_loss__MIN","Group: femnist - Client #5, train_avg_loss__MAX",avg,min,max
1080,,,,,,,,,,2.362602711,2.362602711,2.362602711,,,,2.532402086,2.362602711,2.777966261
1137,,,,2.777966261,2.777966261,2.777966261,,,,,,,,,,2.565847397,2.39505744,2.777966261
1156,,,,,,,,,,,,,2.451107264,2.451107264,2.451107264,2.442274714,2.160102844,2.675276756
1164,,,,,,,,,,2.675276756,2.675276756,2.675276756,,,,2.39204154,2.160102844,2.675276756
1167,,,,,,,2.39505744,2.39505744,2.39505744,,,,,,,2.31335125,2.160102844,2.529829264
1207,,,,,,,2.529829264,2.529829264,2.529829264,,,,,,,2.316296864,2.160102844,2.529829264
1209,,,,,,,,,,,,,2.160102844,2.160102844,2.160102844,2.297063589,2.160102844,2.433662891
1216,,,,,,,,,,2.199941397,2.199941397,2.199941397,,,,2.306818914,2.199941397,2.433662891
1238,,,,,,,2.281825304,2.281825304,2.281825304,,,,,,,2.322506952,2.208879471,2.433662891
1243,,,,,,,,,,,,,2.409785509,2.409785509,2.409785509,2.294203424,2.140307665,2.433662891
1247,2.433662891,2.433662891,2.433662891,,,,,,,,,,,,,2.258441544,2.140307665,2.433662891
1277,,,,,,,2.208879471,2.208879471,2.208879471,,,,,,,2.263450146,2.140307665,2.458705902
1306,2.278381586,2.278381586,2.278381586,,,,,,,,,,,,,2.249168444,2.137470961,2.458705902
1308,,,,,,,2.140307665,2.140307665,2.140307665,,,,,,,2.212502956,2.09505415,2.458705902
1313,,,,,,,,,,,,,2.230976105,2.230976105,2.230976105,2.251724672,2.09505415,2.458705902
1317,,,,2.458705902,2.458705902,2.458705902,,,,,,,,,,2.175450015,1.849602818,2.458705902
1346,2.137470961,2.137470961,2.137470961,,,,,,,,,,,,,2.071693277,1.849602818,2.336416245
1350,,,,2.09505415,2.09505415,2.09505415,,,,,,,,,,2.079915237,1.849602818,2.336416245
1368,,,,,,,2.336416245,2.336416245,2.336416245,,,,,,,2.109671593,1.849602818,2.336416245
1381,,,,,,,,,,1.849602818,1.849602818,1.849602818,,,,2.069687796,1.849602818,2.243835926
1388,,,,,,,,,,,,,1.939922214,1.939922214,1.939922214,2.106732059,1.939922214,2.243835926
1414,,,,2.178580761,2.178580761,2.178580761,,,,,,,,,,2.151172495,2.034824133,2.243835926
1421,2.243835926,2.243835926,2.243835926,,,,,,,,,,,,,2.128283596,2.034824133,2.243835926
1448,,,,,,,2.136497259,2.136497259,2.136497259,,,,,,,2.043899059,1.821913242,2.162124395
1453,,,,2.034824133,2.034824133,2.034824133,,,,,,,,,,1.978889871,1.811451316,2.162124395
1507,,,,,,,,,,2.162124395,2.162124395,2.162124395,,,,1.993147159,1.811451316,2.162124395
